seed,state_id,margin,weight
101,0,-1.0098930756809592,13.11871690817151
101,1,-1.9007492861870448,16.0
101,2,-0.11310662357761661,2.3572794829313994
101,3,-0.6390675227101781,8.668810272522137
101,4,-0.13550441339689415,2.62605296076273
101,5,-0.3519672876796742,5.223607452156091
101,6,-0.045462862835059736,1.5455543540207168
101,7,-0.011777705232435542,1.1413324627892265
101,8,-0.05952371274426399,1.7142845529311679
101,9,-23.8314148961571,16.0
101,10,-0.3050699775806926,4.660839730968311
101,11,-1.9410774579873518,16.0
101,12,-0.13098167034224123,2.5717800441068945
101,13,-0.6038467718498041,8.24616126219765
101,14,-2.5151344956131054,16.0
102,0,-0.33947340602592907,5.073680872311149
102,1,-0.06368210904976612,1.7641853085971935
102,2,-0.013518014140122797,1.1622161696814737
102,4,-5.423688896953999,16.0
102,5,-7.130271831341965,16.0
102,6,-0.05477786858626005,1.6573344230351206
102,7,-1.365440277589026,16.0
102,8,-0.013225366249126916,1.158704394989523
102,9,-2.6833990077468264,16.0
102,10,-4.222915816918665,16.0
102,11,-0.02510183350566808,1.301222002068017
102,12,-1.5301746149133173,16.0
102,13,-0.8889106704301195,11.666928045161434
102,14,-0.1961401247455727,3.3536814969468725
102,15,-41.70077656140852,16.0
103,0,-0.026229094099628175,1.3147491291955382
103,1,-0.0256815092671967,1.3081781112063604
103,2,-0.031613033707153376,1.3793564044858404
103,3,-0.006784693603115316,1.081416323237384
103,4,-36.87297970617652,16.0
103,5,-1.2147481154696864,15.576977385636237
103,6,-0.24165359275207487,3.8998431130248985
103,7,-7.043166319669061,16.0
103,8,-0.04242591351411498,1.50911096216938
103,9,-0.04169938128435294,1.5003925754122354
103,10,-0.22336791432877434,3.680414971945292
103,11,-0.20721033843238634,3.486524061188636
103,12,-0.4275004937570155,6.130005925084186
103,13,-0.015577120479001727,1.1869254457480207
103,14,-0.0894486404455708,2.0733836853468497
103,15,-0.004583269700729753,1.054999236408757
104,0,-0.006260009648377085,1.075120115780525
104,1,-1.2420320388858985,15.904384466630782
104,2,-0.034700923529047856,1.4164110823485743
104,3,-3.064435270622498,16.0
104,4,-2.392195784229876,16.0
104,5,-0.9128538540793418,11.954246248952103
104,6,-0.057538599664053544,1.6904631959686425
104,7,-0.23552348881280658,3.826281865753679
104,8,-0.35440940199504833,5.25291282394058
104,9,-0.18416133450886896,3.2099360141064275
104,10,-5.3026513546823955,16.0
104,11,-1.3630130868334966,16.0
104,12,-0.48250077822112186,6.790009338653462
104,13,-0.1015736795576036,2.218884154691243
104,14,-0.9479974593389686,12.375969512067623
104,15,-1.3237201159637442,16.0
105,0,-0.042443984056232315,1.5093278086747879
105,1,-1.2528586826676773,16.0
105,2,-22.863565045471148,16.0
105,3,-2.4393403712972828,16.0
105,4,-0.02024120750369167,1.2428944900443
105,5,-0.0410040006336338,1.4920480076036056
105,6,-0.1708317288052004,3.049980745662405
105,7,-0.10078436230868154,2.2094123477041787
105,8,-0.09517425775564647,2.1420910930677577
105,9,-0.032036705595160364,1.3844404671419244
105,10,-0.6091122370632699,8.309346844759238
105,11,-0.31104826179286377,4.732579141514365
105,12,-0.19521970719866993,3.3426364863840394
105,13,-0.8952616390602449,11.74313966872294
105,14,-0.006243174025505754,1.074918088306069
105,15,-0.027531037287416044,1.3303724474489926
