episode,reward,cost,feasible,latency_s,ppl_hat,candidate_reward,candidate_feasible,temperature,entropy_coef,hard_batch_fraction,state_weight_mean,state_weight_max,policy_loss,loss,replay_loss,buffer
1,-25.60165023803711,101934.375,0.75,16.868389129638672,2848509.0,-42995072.0,0.51708984375,1.2,0.02,0.5,6.66331672668457,16.0,5.12663459777832,4.780401229858398,0.5646448731422424,640
2,-81.38192749023438,24076092.0,0.1875,37.89939498901367,672796032.0,-3606699.5,0.0750732421875,1.1970405842594627,0.019907924619968473,0.5,6.693361759185791,16.0,8.007959365844727,7.46748685836792,0.6363644599914551,1280
3,-90.71113586425781,508571.8125,0.09375,44.69770812988281,14211793.0,-1185.360107421875,0.0118408203125,1.1940884669701965,0.01981627313371734,0.5,7.237259864807129,16.0,1.5555369853973389,0.8643190860748291,0.6809076070785522,1920
4,-81.40260314941406,2748990.25,0.1875,38.64105987548828,76819304.0,-1854.1767578125,0.0408935546875,1.1911436301329086,0.019725043589737562,0.5,7.293874740600586,16.0,5.8960137367248535,5.317902565002441,0.7027350068092346,2560
5,-44.07890701293945,803759.5,0.5625,25.441791534423828,22460700.0,-4617.6337890625,0.1368408203125,1.1882060557926954,0.019634234045504385,0.5,5.4729719161987305,16.0,7.361727714538574,6.844303131103516,0.6861154437065125,3200
6,-65.86972045898438,139746.703125,0.34375,31.902389526367188,3905146.0,-20396.9375,0.1204833984375,1.1852757260389333,0.019543842567436,0.5,6.93569278717041,16.0,7.331790447235107,6.817127227783203,0.6925274729728699,3840
7,-62.827945709228516,100267.1171875,0.375,32.15715408325195,2801905.75,-18617.001953125,0.0875244140625,1.1823526230051695,0.019453867230852347,0.5,7.55228328704834,16.0,6.151985168457031,5.592864036560059,0.6855978965759277,4480
8,-59.65101623535156,588834.8125,0.40625,30.927518844604492,16454720.0,-19410.32421875,0.133544921875,1.1794367288690137,0.019364306119934168,0.5,6.186435699462891,16.0,6.578294277191162,6.025661945343018,0.7183873057365417,5120
9,-78.35515594482422,117007.9609375,0.21875,36.45050811767578,3269717.5,-15359.52734375,0.0618896484375,1.176528025852028,0.01927515732768218,0.5,7.2625885009765625,16.0,6.618051528930664,6.070184707641602,0.7012654542922974,5760
10,-68.96511840820312,797796.25,0.3125,35.22731399536133,22294054.0,-15243.171875,0.091552734375,1.1736264962196201,0.01918641895587649,0.5,6.569328308105469,16.0,7.923470973968506,7.375649452209473,0.697685718536377,6400
11,-65.93565368652344,7437935.0,0.34375,36.15818405151367,207849856.0,-31387.384765625,0.04931640625,1.1707321222809335,0.019098089115036167,0.5,6.776434898376465,16.0,7.549831867218018,6.947894096374512,0.7062549591064453,7040
12,-72.08575439453125,666339.9375,0.28125,37.90001678466797,18620562.0,-5848.31005859375,0.0555419921875,1.1678448863887412,0.01901016592437902,0.5,6.938313007354736,16.0,7.21451473236084,6.643455982208252,0.699833869934082,7680
13,-62.80652618408203,912036.75,0.375,33.175968170166016,25486456.0,-40021.8515625,0.0555419921875,1.1649647709393374,0.01892264751178154,0.5,6.115579128265381,16.0,8.084566116333008,7.534730434417725,0.7107188701629639,8320
14,-65.96592712402344,225272.0,0.34375,34.59946060180664,6295111.0,-1579.237548828125,0.0419921875,1.1620917583724295,0.018835532013739047,0.5,7.5604963302612305,16.0,4.834587097167969,4.26885986328125,0.7088501453399658,8960
15,-75.17993927001953,7482370.0,0.25,37.02250289916992,209091584.0,-25542.94140625,0.0784912109375,1.1592258311710328,0.018748817575325993,0.5,6.340883255004883,16.0,7.8239030838012695,7.269294738769531,0.703889012336731,9600
16,-75.27420043945312,26726584.0,0.25,36.865848541259766,746862784.0,-4219.099609375,0.054931640625,1.1563669718613623,0.018662502350156495,0.5,7.377942085266113,16.0,5.938231468200684,5.380526542663574,0.6954686045646667,10240
17,-69.09295654296875,54044.4140625,0.3125,33.26158905029297,1510231.125,-7628.392578125,0.0633544921875,1.1535151630127256,0.018576584500344998,0.5,7.345071315765381,16.0,7.873551368713379,7.336801528930664,0.7193580865859985,10880
18,-59.76641845703125,3967147.5,0.40625,32.25304412841797,110860216.0,-183723.65625,0.0863037109375,1.1506703872374187,0.018491062196467147,0.5,5.674859046936035,16.0,8.317837715148926,7.772719860076904,0.7193043828010559,11520
19,-68.98255920410156,347369.6875,0.3125,34.50535583496094,9707076.0,-6333.24853515625,0.0517578125,1.1478326271906183,0.018405933617520832,0.5,6.622914791107178,16.0,8.337566375732422,7.772971153259277,0.732195258140564,12160
20,-84.55693817138672,25429958.0,0.15625,40.02507781982422,710629120.0,-315.34173583984375,0.0205078125,1.1450018655702765,0.018321196950887415,0.5,7.4168701171875,16.0,5.550687789916992,4.925259113311768,0.7235498428344727,12800
21,-75.27357482910156,13486946.0,0.25,39.231040954589844,376886848.0,-2666.31005859375,0.040283203125,1.1421780851170156,0.018236850392293145,0.5,6.0017900466918945,16.0,6.644496917724609,6.084258079528809,0.7099992036819458,13440
22,-69.07457733154297,261076.796875,0.3125,36.40342712402344,7295658.0,-7696.7451171875,0.0731201171875,1.1393612686140222,0.018152892145770722,0.5,7.011916160583496,16.0,5.217156410217285,4.682337760925293,0.7176347970962524,14080
23,-47.262672424316406,36571.53125,0.53125,26.5015926361084,1021964.375,-71644.5625,0.168212890625,1.1365513988869433,0.01806932042362106,0.5,6.342236518859863,16.0,6.878157138824463,6.420323848724365,0.7329735159873962,14720
24,-68.93562316894531,242725.0625,0.3125,32.612205505371094,6782830.5,-13103.94921875,0.109130859375,1.1337484588037803,0.017986133446375244,0.5,6.66627311706543,16.0,7.283261299133301,6.789669036865234,0.72298264503479,15360
25,-59.77488708496094,1518946.5,0.40625,32.00501251220703,42446296.0,-104808.234375,0.111083984375,1.1309524312747854,0.017903329442756605,0.5,6.689650058746338,16.0,6.651368141174316,6.1585869789123535,0.7155190706253052,16000
26,-62.76211166381836,947815.625,0.375,32.594749450683594,26486280.0,-52801.15234375,0.086181640625,1.1281632992523576,0.017820906649643035,0.5,6.530424118041992,16.0,7.191709995269775,6.697240352630615,0.7153871655464172,16640
27,-56.752052307128906,75337.28125,0.4375,32.96232604980469,2105251.5,-63586.89453125,0.0810546875,1.1253810457309377,0.01773886331202942,0.5,6.242043972015381,16.0,7.8414812088012695,7.306931495666504,0.7139370441436768,17280
28,-78.26931762695312,4290226.5,0.21875,37.38975524902344,119888488.0,-1748.6953125,0.0322265625,1.1226056537469056,0.0176571976829903,0.5,7.634668350219727,16.0,5.903820991516113,5.352418422698975,0.7275782823562622,17920
29,-81.32984161376953,962802.8125,0.1875,40.01298522949219,26905084.0,-3200.943603515625,0.0328369140625,1.1198371063784769,0.01757590802364264,0.5,7.157918930053711,16.0,8.177263259887695,7.612768650054932,0.7191489338874817,18560
30,-78.36305236816406,7059764.5,0.21875,38.34164810180664,197282032.0,-965.0698852539062,0.0281982421875,1.1170753867455983,0.017494992603108838,0.5,6.651902198791504,16.0,7.1696457862854,6.617621898651123,0.7307121753692627,19200
31,-69.05001831054688,81061.6484375,0.3125,35.841487884521484,2265213.75,-365.89111328125,0.061279296875,1.114320478009847,0.01741444969847984,0.5,6.864569664001465,16.0,7.814958572387695,7.266185283660889,0.7097749710083008,19840
32,-72.17179870605469,2874125.0,0.28125,37.9765510559082,80316152.0,-1894.707275390625,0.051513671875,1.111572363374326,0.017334277594778465,0.5,6.139171600341797,16.0,8.765762329101562,8.233474731445312,0.7283278107643127,20480
33,-72.19111633300781,83945.2109375,0.28125,35.59203338623047,2345794.0,-5684.88671875,0.04248046875,1.1088310260835625,0.017254474584922904,0.5,6.85551643371582,16.0,6.092717170715332,5.57525110244751,0.7189294695854187,21120
34,-78.27595520019531,166862.1875,0.21875,37.77063751220703,4662871.5,-3724149.0,0.06298828125,1.106096449423406,0.01717503896969035,0.5,5.988185882568359,16.0,7.471454620361328,6.968081474304199,0.735745906829834,21760
35,-50.41780090332031,127681.953125,0.5,30.153852462768555,3568002.75,-9310.1953125,0.11328125,1.103368616720926,0.01709596905768082,0.5,6.387746810913086,16.0,7.670975685119629,7.18978214263916,0.7143526077270508,22400
36,-59.83124542236328,4566572.0,0.40625,31.09537696838379,127610880.0,-9786.0009765625,0.1090087890625,1.1006475113443104,0.01701726316528116,0.5,7.447891712188721,16.0,8.1693115234375,7.7123703956604,0.7190756797790527,23040
37,-65.94693756103516,6945793.5,0.34375,34.19062805175781,194097168.0,-1476426.75,0.0950927734375,1.0979331167027642,0.016938919616629175,0.5,7.011709690093994,16.0,7.802236557006836,7.3231730461120605,0.723834753036499,23680
38,-78.30766296386719,8499246.0,0.21875,39.38410186767578,237507696.0,-2615.118896484375,0.0511474609375,1.0952254162464081,0.016860936743577942,0.5,7.186256408691406,16.0,4.950544357299805,4.444693088531494,0.73372882604599,24320
39,-68.96041107177734,2056653.25,0.3125,34.269371032714844,57472272.0,-2939.794921875,0.0616455078125,1.092524393466178,0.016783312885660318,0.5,7.218661308288574,16.0,7.961692810058594,7.456528663635254,0.7306921482086182,24960
40,-72.11807250976562,1303195.875,0.28125,35.65106201171875,36417228.0,-1431.052734375,0.055908203125,1.0898300318937242,0.016706046390053558,0.5,6.696264266967773,16.0,6.2952752113342285,5.804417610168457,0.7278111577033997,25600
41,-59.6570930480957,749393.125,0.40625,32.80903625488281,20941450.0,-43119.9921875,0.0679931640625,1.0871423151013104,0.01662913561154413,0.5,7.155409812927246,16.0,7.409571170806885,6.940208435058594,0.7487663626670837,26240
42,-75.18751525878906,335698.75,0.25,36.543487548828125,9380938.0,-8066.9521484375,0.099609375,1.0844612267017146,0.016552578912492694,0.5,7.81521463394165,16.0,7.016225337982178,6.557377815246582,0.7287379503250122,26880
43,-72.04788970947266,703684.375,0.28125,36.100440979003906,19664134.0,-5463.4658203125,0.063720703125,1.0817867503481284,0.016476374662799213,0.5,7.162664413452148,16.0,7.915435791015625,7.429783344268799,0.7264542579650879,27520
44,-78.28115844726562,5159704.5,0.21875,39.228515625,144185664.0,-8265.3671875,0.0599365234375,1.0791188697340577,0.01640052123986826,0.5,4.913294792175293,16.0,7.032623767852783,6.537100791931152,0.7261237502098083,28160
45,-75.13029479980469,145389.25,0.25,37.13970184326172,4062819.0,-10387.1396484375,0.059814453125,1.076457568593223,0.01632501702857446,0.5,6.947437286376953,16.0,6.848326206207275,6.370583534240723,0.7443128824234009,28800
46,-69.02256774902344,945058.875,0.3125,34.76300811767578,26409242.0,-18583.0625,0.0452880859375,1.0738028306994603,0.016249860421228102,0.5,6.430988311767578,16.0,7.9894561767578125,7.514197826385498,0.729153037071228,29440
47,-65.8839340209961,29325456.0,0.34375,34.72343826293945,819487168.0,-8264.341796875,0.0604248046875,1.0711546398666225,0.01617504981754091,0.5,6.175171375274658,16.0,5.1694254875183105,4.6983137130737305,0.7256733179092407,30080
48,-56.603172302246094,648333.4375,0.4375,31.70377540588379,18117382.0,-15165.8076171875,0.0826416015625,1.0685129799484803,0.016100583624591963,0.5,5.519510746002197,16.0,7.199237823486328,6.751980781555176,0.733265221118927,30720
49,-44.11636734008789,141919.65625,0.5625,29.39575958251953,3965870.5,-1849521.5,0.140869140625,1.0658778348386235,0.016026460256793777,0.5,5.498237609863281,16.0,7.2080535888671875,6.779113292694092,0.7245532274246216,31360
50,-65.96467590332031,51856.453125,0.34375,33.390201568603516,1449089.25,-5614.2666015625,0.0904541015625,1.0632491884703643,0.015952678135858555,0.5,7.583965301513672,16.0,7.299343109130859,6.890585422515869,0.7482268810272217,32000
51,-65.83235168457031,351871.03125,0.34375,34.09458923339844,9832867.0,-5136982.0,0.0941162109375,1.060627024816637,0.015879235690764566,0.5,6.026733875274658,16.0,6.542760848999023,6.0924906730651855,0.7210504412651062,32640
52,-56.67960739135742,1217394.875,0.4375,32.26585388183594,34019560.0,-90610.8046875,0.089111328125,1.0580113278899026,0.015806131357722696,0.5,6.231367111206055,16.0,7.5154314041137695,7.069105625152588,0.7317445278167725,33280
53,-69.02688598632812,262936.90625,0.3125,33.63243865966797,7347641.0,-58575.9765625,0.0731201171875,1.055402081742049,0.015733363580143166,0.5,7.319386005401611,16.0,7.524068832397461,7.075096130371094,0.7327182292938232,33920
54,-72.09140014648438,98688.125,0.28125,35.83649444580078,2757778.0,-22645.3671875,0.067626953125,1.0527992704642966,0.015660930808602373,0.5,6.280441761016846,16.0,7.153702259063721,6.677540302276611,0.7395350933074951,34560
55,-69.0945816040039,3355526.5,0.3125,38.32797622680664,93768712.0,-1175.3837890625,0.0521240234375,1.050202878187098,0.0155888315008099,0.5,6.185396671295166,16.0,5.997494697570801,5.514194488525391,0.7114490270614624,35200
56,-68.93368530273438,6481508.5,0.3125,37.61433029174805,181122944.0,-158129.40625,0.1060791015625,1.0476128890800442,0.015517064121575672,0.5,7.242969989776611,16.0,8.205233573913574,7.761377334594727,0.7394104599952698,35840
57,-65.9278564453125,227377.71875,0.34375,34.92885208129883,6353954.0,-56041.84765625,0.08251953125,1.0450292873517666,0.01544562714277729,0.5,7.025799751281738,16.0,6.516069412231445,6.065619468688965,0.7349860668182373,36480
58,-68.91163635253906,19158.12890625,0.3125,32.853782653808594,535349.25,-1149.6630859375,0.1026611328125,1.0424520572498406,0.015374519043327465,0.5,7.65203332901001,16.0,7.507110595703125,7.090790748596191,0.7095068693161011,37120
59,-47.22740936279297,833197.4375,0.53125,27.10467529296875,23283334.0,-7783.9541015625,0.1455078125,1.03988118306069,0.015303738309141649,0.5,5.369977951049805,16.0,7.745187759399414,7.340264797210693,0.7340238094329834,37760
60,-62.74624252319336,10519.1728515625,0.375,32.13311004638672,293937.96875,-12019.4658203125,0.0953369140625,1.0373166491094916,0.015233283433105784,0.5,5.863102912902832,16.0,7.7004828453063965,7.296858787536621,0.718574047088623,38400
61,-62.77501678466797,1527943.125,0.375,32.905853271484375,42697688.0,-16435.83203125,0.064453125,1.0347584397600782,0.015163152915044225,0.5,7.100192546844482,16.0,7.416610240936279,6.975043296813965,0.7319186925888062,39040
62,-81.4108657836914,69825.7421875,0.1875,38.95567321777344,1951228.75,-3594.74169921875,0.0450439453125,1.0322065394148452,0.015093345261687784,0.5,7.453936576843262,16.0,7.395022392272949,6.955003261566162,0.7457270622253418,39680
63,-68.94970703125,384500.3125,0.3125,36.23141098022461,10744675.0,-1712.1512451171875,0.0367431640625,1.0296609325146537,0.015023858986641934,0.5,6.442831993103027,16.0,4.6875176429748535,4.221985340118408,0.754922091960907,40320
