episode,reward,cost,feasible,latency_s,ppl_hat,candidate_reward,candidate_feasible,temperature,entropy_coef,hard_batch_fraction,state_weight_mean,state_weight_max,policy_loss,loss,replay_loss,buffer
1,-0.1387024223804474,0.1387024223804474,1.0,4.431419372558594,12.567131042480469,-268.5132751464844,0.983642578125,1.2,0.02,0.0,1.0,1.0,0.3215341866016388,0.24017983675003052,0.12605828046798706,558
2,-0.1753142774105072,0.1753142774105072,1.0,4.722282409667969,13.430811882019043,-476.337158203125,1.0,1.1970405842594627,0.019907924619968473,0.0,1.0,1.0,0.3413325846195221,0.2691146731376648,0.1414388120174408,878
3,-0.2519823908805847,0.2519823908805847,1.0,4.48758602142334,16.023435592651367,-99.96022033691406,0.99853515625,1.1940884669701965,0.01981627313371734,0.0,1.0,1.0,0.25558215379714966,0.18893826007843018,0.13439838588237762,1198
4,-0.22289155423641205,0.22289155423641205,1.0,4.662809371948242,14.95962905883789,-223.8644256591797,0.99169921875,1.1911436301329086,0.019725043589737562,0.0,1.0,1.0,-0.4752732515335083,-0.5393491983413696,0.14638841152191162,1518
5,-0.780666172504425,0.780666172504425,1.0,4.635067939758301,32.260719299316406,-34264.07421875,0.993408203125,1.1882060557926954,0.019634234045504385,0.0,1.0,1.0,0.06056657433509827,-0.004144914448261261,0.14328615367412567,1838
6,-0.9204254150390625,0.9204254150390625,1.0,4.686684608459473,36.541358947753906,-433.12677001953125,1.0,1.1852757260389333,0.019543842567436,0.0,1.0,1.0,-0.07195830345153809,-0.12495238333940506,0.14932504296302795,2158
7,-0.15238648653030396,0.15238648653030396,1.0,4.7039384841918945,12.737739562988281,-743.9505004882812,0.99169921875,1.1823526230051695,0.019453867230852347,0.0,1.0,1.0,-0.015574246644973755,-0.08275920152664185,0.13823682069778442,2478
8,-0.15583950281143188,0.15583950281143188,1.0,4.582414627075195,12.957600593566895,-346.9089660644531,1.0,1.1794367288690137,0.019364306119934168,0.0,1.0,1.0,0.25082147121429443,0.18163585662841797,0.14657431840896606,2798
9,-0.29921600222587585,0.29921600222587585,1.0,4.856918811798096,17.14318084716797,-454.1653747558594,0.991943359375,1.176528025852028,0.01927515732768218,0.0,1.0,1.0,0.09941429644823074,0.046003296971321106,0.1524403691291809,3118
10,-0.3702700734138489,0.3702700734138489,1.0,4.787518501281738,19.408340454101562,-2837.768798828125,0.999267578125,1.1736264962196201,0.01918641895587649,0.0,1.0,1.0,0.26983898878097534,0.2062251716852188,0.13675260543823242,3438
