episode,reward,cost,feasible,latency_s,ppl_hat,candidate_reward,candidate_feasible,temperature,entropy_coef,policy_loss,loss,replay_loss,buffer
1,-0.20845619184812153,0.20845619184812153,1.0,2.059228070217143,31.019899247620415,-0.28122909984460764,1.0,1.2,0.02,-1.8929216861724854,-1.9229966402053833,0.06139565631747246,1580
2,-0.20151014697123532,0.20151014697123532,1.0,2.004194513559889,30.908723192011664,-0.2839806840062986,1.0,1.195065116766306,0.019846572457665104,-1.0585193634033203,-1.100060224533081,0.06959997862577438,1660
3,-0.18655824310160649,0.18655824310160649,1.0,1.8456882149432294,30.977980527614356,-0.2519259497984418,1.0,1.1901505277597204,0.01969432191586755,-1.9261449575424194,-1.958018183708191,0.09048278629779816,1740
4,-0.17069175029748268,0.17069175029748268,1.0,1.6955897562937516,30.91196587455525,-0.2506044472393306,1.0,1.1852561495222094,0.019543239345392354,-0.7241162061691284,-0.7556406259536743,0.09468663483858109,1820
5,-0.19899466339514826,0.19899466339514826,1.0,1.9471396378862256,31.15455026161401,-0.2675104771420433,1.0,1.1803818989389512,0.01939331578629104,-1.3644604682922363,-1.3917982578277588,0.1086864173412323,1900
6,-0.23090621411509465,0.23090621411509465,1.0,2.260106251320768,31.201934670525695,-0.3736338593157498,1.0,1.1755276932369265,0.019244542347350277,-0.4057077169418335,-0.4461008310317993,0.16066496074199677,1980
7,-0.25524279901485564,0.25524279901485564,1.0,2.4053538307138576,31.958050548664755,-0.5132081834429117,1.0,1.1706934499835115,0.019096910205564584,-0.38311487436294556,-0.4256277084350586,0.1608613282442093,2060
8,-0.19144552168903933,0.19144552168903933,1.0,1.810143675809292,31.62851462372152,-0.2385357788298775,1.0,1.165879087085079,0.018950410605613085,-1.2241084575653076,-1.2564879655838013,0.18708650767803192,2140
9,-0.21638693231857464,0.21638693231857464,1.0,2.0860961070780575,31.42400583068541,-0.35934789002617784,1.0,1.1610845227856037,0.018805034859340264,-0.1013268232345581,-0.12521159648895264,0.17698624730110168,2220
10,-0.23479491377586167,0.23479491377586167,1.0,2.230584586937535,31.72910331084048,-0.4313662964937351,1.0,1.1563096756652735,0.01866077434524073,0.054770369082689285,0.022322453558444977,0.18947656452655792,2300
11,-0.20843986926177357,0.20843986926177357,1.0,2.046176989755379,31.11921522145676,-0.3021089509657332,1.0,1.151554464639108,0.018517620507947908,-1.4669313430786133,-1.5016913414001465,0.29804736375808716,2380
12,-0.21431211327955843,0.21431211327955843,1.0,2.0453466823806967,31.578138704236984,-0.37938095461029364,1.0,1.1468188089555806,0.01837556485772667,-0.34115612506866455,-0.37934941053390503,0.24369275569915771,2460
