episode,reward,cost,feasible,latency_s,ppl_hat,candidate_reward,candidate_feasible,temperature,entropy_coef,hard_batch_fraction,state_weight_mean,state_weight_max,policy_loss,loss,replay_loss,buffer
1,-0.356808066368103,0.356808066368103,1.0,2.6899912357330322,37.575897216796875,-40793.77734375,0.97216796875,1.2,0.02,0.0,1.0,1.0,0.6826890707015991,0.6003308296203613,0.1296987682580948,2560
2,-3.4845662117004395,123532.3359375,0.96875,3.0218214988708496,9515696.0,-707616.375,0.996337890625,1.199260571870983,0.019976975893302353,0.0,1.0,1.0,0.6431049704551697,0.5682812929153442,0.14686886966228485,3200
3,-0.40417325496673584,0.40417325496673584,1.0,2.499849796295166,42.689090728759766,-49603.23828125,0.9942626953125,1.1985215993702643,0.01995397829207917,0.0,1.0,1.0,0.810034990310669,0.7315829992294312,0.167776420712471,3840
4,-9.778398513793945,21035092.0,0.90625,4.229925155639648,1620331904.0,-1296196.875,0.9967041015625,1.1977830822170903,0.0199310071658172,0.0,1.0,1.0,0.8978691697120667,0.8190045356750488,0.18607144057750702,4480
5,-4.04940128326416,28943.671875,0.96875,3.427885055541992,2229533.75,-274809.9375,0.9971923828125,1.1970450201308802,0.019908062484038338,0.0,1.0,1.0,0.8978486061096191,0.8131443858146667,0.173921599984169,5120
6,-3.910339593887329,67594016.0,0.96875,3.5905637741088867,5206763008.0,-107228.7421875,0.98681640625,1.1963074128312265,0.01988514421629954,0.0,1.0,1.0,0.772913932800293,0.6944999098777771,0.2037821263074875,5760
7,-6.809854030609131,1121545984.0,0.9375,3.638942241668701,86392627200.0,-318496.5,0.9901123046875,1.1955702600378941,0.019862252332192833,0.0,1.0,1.0,0.736242413520813,0.6528555750846863,0.1996029168367386,6400
8,-3.526078939437866,10546.4658203125,0.96875,3.1339447498321533,812400.1875,-71674.5078125,0.9912109375,1.1948335614708205,0.019839386801345234,0.0,1.0,1.0,0.8465213775634766,0.7691658735275269,0.20244699716567993,7040
9,-0.3770237863063812,0.3770237863063812,1.0,2.663684606552124,39.335750579833984,-3587981.25,0.99658203125,1.1940973168501163,0.01981654759341873,0.0,1.0,1.0,0.5477702021598816,0.47476068139076233,0.2202814817428589,7680
10,-0.4554174244403839,0.4554174244403839,1.0,2.778865098953247,44.48717498779297,-7726648.0,0.99560546875,1.1933615258960641,0.01979373467811024,0.0,1.0,1.0,1.124817967414856,1.0382686853408813,0.2326534539461136,8320
11,-6.618984699249268,17979774.0,0.9375,3.437587261199951,1384981120.0,-1519141888.0,0.9715576171875,1.192626188329119,0.019770948025151554,0.0,1.0,1.0,0.978522539138794,0.8809273838996887,0.2647657096385956,8960
