method,reward_mean,reward_std,feasible_mean,gap_mean,gap_max,latency_mean,ppl_mean
best_heuristic,-0.019227766785082593,0.0020581465134066404,1.0,0.0,0.0,0.19227766785082595,30.824672354565333
optimal,-0.019227766785082593,0.0020581465134066404,1.0,0.0,0.0,0.19227766785082595,30.824672354565333
autoreg_rl_pure,-0.01952156396152838,0.0021742065152395885,1.0,0.0002937971764457884,0.006519859130300804,0.19521563961528382,30.824672354565333
