layer,gamma,r2,rmse_log_ratio,drop_rate,ppl_mean,ppl_std
0,11.103801157041218,0.9924196034312422,0.017050083050078442,0.0,30.811978559923826,0.0
0,11.103801157041218,0.9924196034312422,0.017050083050078442,0.01,33.6669509544312,0.7593241181866652
0,11.103801157041218,0.9924196034312422,0.017050083050078442,0.03,42.387449846036745,1.2693836192911014
0,11.103801157041218,0.9924196034312422,0.017050083050078442,0.05,54.38441933583124,0.49434785652038826
1,16.396545725463813,0.9878545441958005,0.03212171077005346,0.0,30.811978559923826,0.0
1,16.396545725463813,0.9878545441958005,0.03212171077005346,0.01,35.302201987046274,0.2207208801586482
1,16.396545725463813,0.9878545441958005,0.03212171077005346,0.03,48.482587056127144,0.43385472822096105
1,16.396545725463813,0.9878545441958005,0.03212171077005346,0.05,71.98607243430962,9.22628444344561
2,12.870006787383463,0.9942297124325992,0.01582972439184517,0.0,30.811978559923826,0.0
2,12.870006787383463,0.9942297124325992,0.01582972439184517,0.01,34.8046766871679,0.641474154877347
2,12.870006787383463,0.9942297124325992,0.01582972439184517,0.03,46.402375890375055,0.2714154015812795
2,12.870006787383463,0.9942297124325992,0.01582972439184517,0.05,57.90281931120215,2.7639477073082865
3,13.34312506678518,0.9715394439252671,0.041883274219175835,0.0,30.811978559923826,0.0
3,13.34312506678518,0.9715394439252671,0.041883274219175835,0.01,34.06060126233422,0.34919846492964624
3,13.34312506678518,0.9715394439252671,0.041883274219175835,0.03,43.64243005939139,2.1794368768647665
3,13.34312506678518,0.9715394439252671,0.041883274219175835,0.05,62.36467033156049,8.224845730333218
4,10.77441750098191,0.9890165222435334,0.020303604845763008,0.0,30.811978559923826,0.0
4,10.77441750098191,0.9890165222435334,0.020303604845763008,0.01,33.21823932165071,0.8019724173743441
4,10.77441750098191,0.9890165222435334,0.020303604845763008,0.03,42.25158845346168,1.824784985867474
4,10.77441750098191,0.9890165222435334,0.020303604845763008,0.05,53.39038034709793,0.5423119098914917
5,12.161769132071038,0.9990018066611276,0.006134321701524366,0.0,30.811978559923826,0.0
5,12.161769132071038,0.9990018066611276,0.006134321701524366,0.01,35.157970976258426,1.3507609403069587
5,12.161769132071038,0.9990018066611276,0.006134321701524366,0.03,44.271901950572996,2.203156224723866
5,12.161769132071038,0.9990018066611276,0.006134321701524366,0.05,56.563833295153145,3.233410895237199
6,10.514013431965143,0.9973812462063208,0.008950992477707255,0.0,30.811978559923826,0.0
6,10.514013431965143,0.9973812462063208,0.008950992477707255,0.01,34.244756036455975,1.1593417718628984
6,10.514013431965143,0.9973812462063208,0.008950992477707255,0.03,41.67883064970154,1.1884410240734589
6,10.514013431965143,0.9973812462063208,0.008950992477707255,0.05,52.53631253983886,2.5566517813451846
7,11.011086514319215,0.9579259576481047,0.03453585368020508,0.0,30.811978559923826,0.0
7,11.011086514319215,0.9579259576481047,0.03453585368020508,0.01,34.522619480288704,0.306712963908943
7,11.011086514319215,0.9579259576481047,0.03453585368020508,0.03,45.11054804970007,1.1804048384488404
7,11.011086514319215,0.9579259576481047,0.03453585368020508,0.05,51.7906586468946,1.5076944298944248
8,10.930289725794413,0.9109248672527146,0.04732752954594324,0.0,30.811978559923826,0.0
8,10.930289725794413,0.9109248672527146,0.04732752954594324,0.01,34.94225371649941,0.15875680348739607
8,10.930289725794413,0.9109248672527146,0.04732752954594324,0.03,45.74897325227064,0.39684210353247096
8,10.930289725794413,0.9109248672527146,0.04732752954594324,0.05,50.942913468019626,0.09155493852439989
9,9.922558312418907,0.8881783680751378,0.05145565480990355,0.0,30.811978559923826,0.0
9,9.922558312418907,0.8881783680751378,0.05145565480990355,0.01,33.824445755924486,0.5515850294911786
9,9.922558312418907,0.8881783680751378,0.05145565480990355,0.03,44.80647480460017,2.893161127384726
9,9.922558312418907,0.8881783680751378,0.05145565480990355,0.05,48.3834146400784,0.19983489462356374
10,8.122569201917305,0.9896701781537983,0.013157548378319605,0.0,30.811978559923826,0.0
10,8.122569201917305,0.9896701781537983,0.013157548378319605,0.01,33.34898834039948,0.15375307617329526
10,8.122569201917305,0.9896701781537983,0.013157548378319605,0.03,40.09381918636482,0.16081494348654246
10,8.122569201917305,0.9896701781537983,0.013157548378319605,0.05,45.72601517590932,1.7411481966698048
11,8.895570226280052,0.9987909795939536,0.005084806688029723,0.0,30.811978559923826,0.0
11,8.895570226280052,0.9987909795939536,0.005084806688029723,0.01,33.74430746519252,0.10701282266175483
11,8.895570226280052,0.9987909795939536,0.005084806688029723,0.03,39.93446830583795,1.8168977169200744
11,8.895570226280052,0.9987909795939536,0.005084806688029723,0.05,48.26998936577331,2.2745989825873956
12,8.195447471651507,0.9601664005942838,0.024495220129969422,0.0,30.811978559923826,0.0
12,8.195447471651507,0.9601664005942838,0.024495220129969422,0.01,33.72871657572024,0.6100599253597032
12,8.195447471651507,0.9601664005942838,0.024495220129969422,0.03,40.798303860806016,0.27932418974761575
12,8.195447471651507,0.9601664005942838,0.024495220129969422,0.05,45.37918182667147,1.0510750277355037
13,10.62186042472375,0.989107117457387,0.018587714639490667,0.0,30.811978559923826,0.0
13,10.62186042472375,0.989107117457387,0.018587714639490667,0.01,33.60730936754206,0.09827963434950604
13,10.62186042472375,0.989107117457387,0.018587714639490667,0.03,43.38570495647673,2.2131158035695684
13,10.62186042472375,0.989107117457387,0.018587714639490667,0.05,51.86944350867558,0.9455477297132191
14,12.576829832475772,0.9836412875029705,0.027617419532211432,0.0,30.811978559923826,0.0
14,12.576829832475772,0.9836412875029705,0.027617419532211432,0.01,33.770380565653184,0.24055688444110146
14,12.576829832475772,0.9836412875029705,0.027617419532211432,0.03,46.36535874313266,0.8109975800875446
14,12.576829832475772,0.9836412875029705,0.027617419532211432,0.05,57.09725592562755,0.84797404349289
15,9.79841895967548,0.9738453299824387,0.028355473795448796,0.0,30.811978559923826,0.0
15,9.79841895967548,0.9738453299824387,0.028355473795448796,0.01,33.7286640895033,0.11589869944365105
15,9.79841895967548,0.9738453299824387,0.028355473795448796,0.03,39.68293317002888,0.47299637067344236
15,9.79841895967548,0.9738453299824387,0.028355473795448796,0.05,51.619182130364564,2.216760281986641
16,9.172365483712705,0.9834371884702726,0.021582748512195705,0.0,30.811978559923826,0.0
16,9.172365483712705,0.9834371884702726,0.021582748512195705,0.01,32.90405371336262,0.40605683244515234
16,9.172365483712705,0.9834371884702726,0.021582748512195705,0.03,39.75303159113087,0.18047600915583217
16,9.172365483712705,0.9834371884702726,0.021582748512195705,0.05,49.5985252282367,3.1694994430768304
17,8.515256259502541,0.9930218810615419,0.012523442096229421,0.0,30.811978559923826,0.0
17,8.515256259502541,0.9930218810615419,0.012523442096229421,0.01,32.960577394624146,0.16918032459891919
17,8.515256259502541,0.9930218810615419,0.012523442096229421,0.03,39.43096304433629,0.23145409505863057
17,8.515256259502541,0.9930218810615419,0.012523442096229421,0.05,47.5842118365778,0.7629248211976005
18,10.407531939754938,0.9885907577190532,0.01953366895072106,0.0,30.811978559923826,0.0
18,10.407531939754938,0.9885907577190532,0.01953366895072106,0.01,33.76836729254929,0.15918469073875485
18,10.407531939754938,0.9885907577190532,0.01953366895072106,0.03,41.03051135504855,0.2656939822798563
18,10.407531939754938,0.9885907577190532,0.01953366895072106,0.05,52.786691746728316,1.1875748482562116
19,8.21069874162233,0.9921319200859846,0.01104607143668415,0.0,30.811978559923826,0.0
19,8.21069874162233,0.9921319200859846,0.01104607143668415,0.01,34.06402181350997,0.8335607703974226
19,8.21069874162233,0.9921319200859846,0.01104607143668415,0.03,39.520019078744156,1.1264394632408603
19,8.21069874162233,0.9921319200859846,0.01104607143668415,0.05,46.212138441355776,1.133210857460213
20,9.378136181634162,0.9978605372174199,0.0068406744487323435,0.0,30.811978559923826,0.0
20,9.378136181634162,0.9978605372174199,0.0068406744487323435,0.01,34.081044863445804,0.17155269414940477
20,9.378136181634162,0.9978605372174199,0.0068406744487323435,0.03,41.129280519869184,0.5861044607315264
20,9.378136181634162,0.9978605372174199,0.0068406744487323435,0.05,48.9556819384347,0.37260049965717457
21,8.610806571114606,0.9974985822973901,0.006796195734363192,0.0,30.811978559923826,0.0
21,8.610806571114606,0.9974985822973901,0.006796195734363192,0.01,33.9657408478397,0.1518410690295724
21,8.610806571114606,0.9974985822973901,0.006796195734363192,0.03,39.769384712512775,0.26501336119387275
21,8.610806571114606,0.9974985822973901,0.006796195734363192,0.05,47.37306886771169,1.886319316823517
22,11.025538262248746,0.9955743351653001,0.012694785433014756,0.0,30.811978559923826,0.0
22,11.025538262248746,0.9955743351653001,0.012694785433014756,0.01,33.83607125877991,0.08888965126710957
22,11.025538262248746,0.9955743351653001,0.012694785433014756,0.03,42.438200389846784,0.056454199162701
22,11.025538262248746,0.9955743351653001,0.012694785433014756,0.05,53.99433849157293,0.819061946858298
23,8.437090111546532,0.9992596279526518,0.003719681957689926,0.0,30.811978559923826,0.0
23,8.437090111546532,0.9992596279526518,0.003719681957689926,0.01,33.67391690138972,0.0479781669778383
23,8.437090111546532,0.9992596279526518,0.003719681957689926,0.03,39.51506073366173,0.6758311925212688
23,8.437090111546532,0.9992596279526518,0.003719681957689926,0.05,47.062138182477916,1.737059099227615
24,11.2551486428913,0.9992445675697232,0.004995675569020012,0.0,30.811978559923826,0.0
24,11.2551486428913,0.9992445675697232,0.004995675569020012,0.01,34.50298040136036,0.09968451581885418
24,11.2551486428913,0.9992445675697232,0.004995675569020012,0.03,43.506386039805605,0.17158718802587103
24,11.2551486428913,0.9992445675697232,0.004995675569020012,0.05,53.84626140665284,0.167563845149445
25,17.9914848274121,0.9999318217502907,0.002441662972171855,0.0,30.811978559923826,0.0
25,17.9914848274121,0.9999318217502907,0.002441662972171855,0.01,36.790437474246865,0.14576304760645797
25,17.9914848274121,0.9999318217502907,0.002441662972171855,0.03,52.72173508072598,0.9182331668904204
25,17.9914848274121,0.9999318217502907,0.002441662972171855,0.05,75.91133518508919,0.4188891216943489
26,13.080630476288649,0.997975310327926,0.009311163401506058,0.0,30.811978559923826,0.0
26,13.080630476288649,0.997975310327926,0.009311163401506058,0.01,35.4070607584645,0.11674267236417535
26,13.080630476288649,0.997975310327926,0.009311163401506058,0.03,46.129145408966735,1.2646478092309863
26,13.080630476288649,0.997975310327926,0.009311163401506058,0.05,58.76939643176773,1.2479437261860085
