layer,gamma,r2,rmse_log_ratio,drop_rate,ppl_mean,ppl_std
0,7.122196561545518,0.9970913316808447,0.00613651009569888,0.0,12.388739769105376,0.0
0,7.122196561545518,0.9970913316808447,0.00613651009569888,0.005,12.901800502317514,0.2037627379242409
0,7.122196561545518,0.9970913316808447,0.00613651009569888,0.01,13.169201913913406,0.11595260360302835
0,7.122196561545518,0.9970913316808447,0.00613651009569888,0.02,14.348077186799992,0.4115380476860411
0,7.122196561545518,0.9970913316808447,0.00613651009569888,0.03,15.423547244801192,0.27322605968554164
0,7.122196561545518,0.9970913316808447,0.00613651009569888,0.05,17.626585473787284,0.8478240973143304
1,6.054626615332452,0.9838626122503398,0.012784412605754266,0.0,12.388739769105376,0.0
1,6.054626615332452,0.9838626122503398,0.012784412605754266,0.005,12.743090797409428,0.036623433400090825
1,6.054626615332452,0.9838626122503398,0.012784412605754266,0.01,13.292457928122472,0.138558443871195
1,6.054626615332452,0.9838626122503398,0.012784412605754266,0.02,13.727601672829058,0.06790749438412877
1,6.054626615332452,0.9838626122503398,0.012784412605754266,0.03,14.655835028341864,0.30030101513406837
1,6.054626615332452,0.9838626122503398,0.012784412605754266,0.05,17.001400307174062,0.24169861006243476
2,5.809001442385384,0.9959468903453016,0.006062615462959221,0.0,12.388739769105376,0.0
2,5.809001442385384,0.9959468903453016,0.006062615462959221,0.005,12.752844302211459,0.047517710660464466
2,5.809001442385384,0.9959468903453016,0.006062615462959221,0.01,13.085280151271263,0.07545174989805327
2,5.809001442385384,0.9959468903453016,0.006062615462959221,0.02,13.754514646929094,0.1761819039180484
2,5.809001442385384,0.9959468903453016,0.006062615462959221,0.03,14.834068310426389,0.07146686734106192
2,5.809001442385384,0.9959468903453016,0.006062615462959221,0.05,16.59403387749039,0.262141071280492
3,6.731385147593332,0.9957125798199603,0.007233646137842272,0.0,12.388739769105376,0.0
3,6.731385147593332,0.9957125798199603,0.007233646137842272,0.005,12.809097031543269,0.09806434653422001
3,6.731385147593332,0.9957125798199603,0.007233646137842272,0.01,13.163065603419303,0.061324108138228084
3,6.731385147593332,0.9957125798199603,0.007233646137842272,0.02,14.010347237285378,0.11816326865052913
3,6.731385147593332,0.9957125798199603,0.007233646137842272,0.03,15.298501074656452,0.22945933038788538
3,6.731385147593332,0.9957125798199603,0.007233646137842272,0.05,17.35631085578085,0.24523341201160437
4,5.780082815662257,0.9980059276199339,0.004026170868192926,0.0,12.388739769105376,0.0
4,5.780082815662257,0.9980059276199339,0.004026170868192926,0.005,12.76804643540689,0.1314523930030778
4,5.780082815662257,0.9980059276199339,0.004026170868192926,0.01,13.161267012785137,0.1465158817140383
4,5.780082815662257,0.9980059276199339,0.004026170868192926,0.02,13.99584366460065,0.10163677571162191
4,5.780082815662257,0.9980059276199339,0.004026170868192926,0.03,14.775640410245392,0.05152696563497808
4,5.780082815662257,0.9980059276199339,0.004026170868192926,0.05,16.45956117358841,0.1552828011622942
5,6.120055046649277,0.9987673665803753,0.003489935478604051,0.0,12.388739769105376,0.0
5,6.120055046649277,0.9987673665803753,0.003489935478604051,0.005,12.754675551114033,0.04611243399069208
5,6.120055046649277,0.9987673665803753,0.003489935478604051,0.01,13.144008707593628,0.0889975248369889
5,6.120055046649277,0.9987673665803753,0.003489935478604051,0.02,14.012053121929426,0.11596265152118108
5,6.120055046649277,0.9987673665803753,0.003489935478604051,0.03,14.793733265181553,0.36890604009852757
5,6.120055046649277,0.9987673665803753,0.003489935478604051,0.05,16.890719203985224,0.3209966488058932
6,5.406852550476415,0.9989340221176982,0.0027939224043595666,0.0,12.388739769105376,0.0
6,5.406852550476415,0.9989340221176982,0.0027939224043595666,0.005,12.782776342226517,0.05115063181794315
6,5.406852550476415,0.9989340221176982,0.0027939224043595666,0.01,13.110659116216224,0.008717368983281947
6,5.406852550476415,0.9989340221176982,0.0027939224043595666,0.02,13.757751439875065,0.034394686761622266
6,5.406852550476415,0.9989340221176982,0.0027939224043595666,0.03,14.551314924775099,0.18139827421304353
6,5.406852550476415,0.9989340221176982,0.0027939224043595666,0.05,16.253455153993567,0.23827766026823008
7,4.637346454310711,0.9930092333816377,0.005949128134651836,0.0,12.388739769105376,0.0
7,4.637346454310711,0.9930092333816377,0.005949128134651836,0.005,12.68052196666203,0.06258289216883176
7,4.637346454310711,0.9930092333816377,0.005949128134651836,0.01,13.045422906848259,0.07428788200135931
7,4.637346454310711,0.9930092333816377,0.005949128134651836,0.02,13.689865575369566,0.06187875343949778
7,4.637346454310711,0.9930092333816377,0.005949128134651836,0.03,14.327593627578652,0.26962915347233674
7,4.637346454310711,0.9930092333816377,0.005949128134651836,0.05,15.502094680964271,0.3009712797250491
8,4.469717981555579,0.9970889561345467,0.0038336071995979672,0.0,12.388739769105376,0.0
8,4.469717981555579,0.9970889561345467,0.0038336071995979672,0.005,12.651328850640432,0.04433571184779264
8,4.469717981555579,0.9970889561345467,0.0038336071995979672,0.01,13.009240750399185,0.014051632134268648
8,4.469717981555579,0.9970889561345467,0.0038336071995979672,0.02,13.599263684563425,0.05331020438705516
8,4.469717981555579,0.9970889561345467,0.0038336071995979672,0.03,14.080119520019286,0.06432693890118336
8,4.469717981555579,0.9970889561345467,0.0038336071995979672,0.05,15.51352823459745,0.201614571846667
9,4.655451387834382,0.9974485357221119,0.003903060893812245,0.0,12.388739769105376,0.0
