episode,reward,cost,feasible,latency_s,ppl_hat,candidate_reward,candidate_feasible,temperature,entropy_coef,policy_loss,loss,replay_loss,buffer
1,-0.2808152437210083,0.2808152437210083,1.0,2.703521728515625,31.630971908569336,-0.36873602867126465,0.9990234375,1.2,0.02,-0.994247555732727,-1.0401370525360107,0.040996190160512924,7963
2,-0.2876030504703522,0.2876030504703522,1.0,2.7828800678253174,31.542503356933594,-0.3910059928894043,0.998046875,1.1983564408945802,0.0199488400704437,-1.0056966543197632,-1.0445804595947266,0.06995830684900284,8027
3,-0.31397372484207153,0.31397372484207153,1.0,2.943840265274048,32.33428955078125,-0.42713963985443115,0.9990234375,1.1967151328612713,0.019897811007807006,-0.28754493594169617,-0.3259548842906952,0.05825367569923401,8091
4,-0.27784958481788635,0.27784958481788635,1.0,2.642057180404663,31.87609100341797,-0.37511444091796875,0.9990234375,1.1950760728169312,0.019846912477332803,-1.5311667919158936,-1.5763311386108398,0.0785532146692276,8155
5,-0.2727733850479126,0.2727733850479126,1.0,2.6666696071624756,31.295242309570312,-0.3827710747718811,0.998046875,1.1934392576826416,0.019796144145120282,-1.5337390899658203,-1.581039547920227,0.08400826901197433,8219
6,-0.2792103886604309,0.2792103886604309,1.0,2.6971421241760254,31.55646514892578,-0.3900302052497864,0.9990234375,1.1918046843837,0.019745505678122742,-1.0604262351989746,-1.1032965183258057,0.07329505681991577,8283
7,-0.2709175944328308,0.2709175944328308,1.0,2.6215550899505615,31.499893188476562,-0.35146665573120117,1.0,1.190172349849616,0.019694996744145425,-1.1361006498336792,-1.1749942302703857,0.10190100222826004,8347
8,-0.265330970287323,0.265330970287323,1.0,2.5870370864868164,31.335376739501953,-0.32708996534347534,1.0,1.1885422510141042,0.01964461701184332,-0.9319005608558655,-0.9691681861877441,0.09035015851259232,8411
9,-0.296453058719635,0.296453058719635,1.0,2.8486664295196533,31.717540740966797,-0.385881632566452,0.998046875,1.186914384815079,0.019594366150718998,-1.1818933486938477,-1.2214505672454834,0.09284204989671707,8475
10,-0.28603029251098633,0.28603029251098633,1.0,2.763967514038086,31.567049026489258,-0.3843059539794922,0.9990234375,1.1852887481946484,0.01954424383112044,-0.8190195560455322,-0.860736072063446,0.10965391993522644,8539
11,-0.2852712869644165,0.2852712869644165,1.0,2.771329164505005,31.451828002929688,-0.367013543844223,0.9990234375,1.1836653380991091,0.019494249724238872,-1.0364820957183838,-1.0841354131698608,0.1049446314573288,8603
12,-0.2888481318950653,0.2888481318950653,1.0,2.7874348163604736,31.603351593017578,-0.3927660584449768,0.9970703125,1.1820441514789404,0.019444383502106623,-1.1675076484680176,-1.2079713344573975,0.12318398058414459,8667
13,-0.274653822183609,0.274653822183609,1.0,2.6893606185913086,31.265291213989258,-0.34964510798454285,1.0,1.1804251852887975,0.019394644837594947,-1.382737636566162,-1.4240812063217163,0.11364869028329849,8731
14,-0.271778404712677,0.271778404712677,1.0,2.660890579223633,31.263099670410156,-0.3553571105003357,1.0,1.178808436487507,0.0193450334044119,-1.1946057081222534,-1.2347660064697266,0.13399136066436768,8795
15,-0.26215285062789917,0.26215285062789917,1.0,2.5659759044647217,31.252769470214844,-0.32621562480926514,0.9990234375,1.1771939020380615,0.0192955488771002,-1.3428629636764526,-1.3882050514221191,0.11965411901473999,8859
16,-0.3063918352127075,0.3063918352127075,1.0,2.9020164012908936,32.07231521606445,-0.42275556921958923,0.986328125,1.175581578907612,0.01924619093103507,-1.5380523204803467,-1.583654522895813,0.12443270534276962,8923
17,-0.2925836443901062,0.2925836443901062,1.0,2.8085505962371826,31.728496551513672,-0.49618202447891235,0.9794921875,1.1739714640674643,0.019196959242422124,-1.865898847579956,-1.918260931968689,0.11667264997959137,8987
18,-0.29695162177085876,0.29695162177085876,1.0,2.8404769897460938,31.819068908691406,-0.38325971364974976,1.0,1.1723635544930717,0.019147853488295247,-1.2409815788269043,-1.2857462167739868,0.1336769312620163,9051
19,-0.2761942744255066,0.2761942744255066,1.0,2.696133613586426,31.33180809020996,-0.3609754741191864,1.0,1.1707578471640305,0.01909887334651447,-1.1382453441619873,-1.1822465658187866,0.12681566178798676,9115
20,-0.3041215240955353,0.3041215240955353,1.0,2.9012646675109863,31.903156280517578,-0.4026150703430176,0.9990234375,1.1691543390640735,0.019050018495763845,-1.118638515472412,-1.1611799001693726,0.12359543144702911,9179
21,-0.2645944356918335,0.2645944356918335,1.0,2.580132246017456,31.331830978393555,-0.33550387620925903,0.998046875,1.1675530271810655,0.019001288615549367,-1.2151321172714233,-1.2609530687332153,0.13356803357601166,9243
22,-0.2568359971046448,0.2568359971046448,1.0,2.506112575531006,31.304359436035156,-0.37065523862838745,0.998046875,1.1659539085069957,0.018952683386196847,-1.9585411548614502,-2.002560615539551,0.1263616979122162,9307
23,-0.2816724181175232,0.2816724181175232,1.0,2.7329142093658447,31.470523834228516,-0.37309619784355164,1.0,1.1643569800379734,0.018904202488849806,-1.2378478050231934,-1.2797683477401733,0.13768863677978516,9371
24,-0.2744883894920349,0.2744883894920349,1.0,2.639375925064087,31.637733459472656,-0.3461337983608246,0.9990234375,1.162762238774223,0.018855845605467426,-2.164113998413086,-2.2059428691864014,0.1434035301208496,9435
25,-0.28323763608932495,0.28323763608932495,1.0,2.757172107696533,31.404205322265625,-0.36631083488464355,0.9970703125,1.1611696817200765,0.018807612418822412,-0.5762820243835449,-0.615824282169342,0.14562304317951202,9499
26,-0.27238714694976807,0.27238714694976807,1.0,2.6452484130859375,31.430553436279297,-0.3516372740268707,1.0,1.1595793058839694,0.01875950261249895,-1.1965068578720093,-1.2388283014297485,0.13696786761283875,9563
27,-0.29056596755981445,0.29056596755981445,1.0,2.8202643394470215,31.482742309570312,-0.4085571765899658,0.998046875,1.1579911082784344,0.018711515870890618,-1.5464941263198853,-1.5935983657836914,0.1368034929037094,9627
28,-0.2926573157310486,0.2926573157310486,1.0,2.7949464321136475,31.839006423950195,-0.3731357455253601,1.0,1.156405085920096,0.018663651879198297,-0.9542751312255859,-0.997279703617096,0.12936384975910187,9691
29,-0.30298668146133423,0.30298668146133423,1.0,2.8863985538482666,31.93026351928711,-0.3945246934890747,0.998046875,1.1548212358296646,0.01861591032342814,-1.1311306953430176,-1.1795235872268677,0.10811401158571243,9755
30,-0.2646997272968292,0.2646997272968292,1.0,2.577134847640991,31.3630428314209,-0.36813390254974365,0.9990234375,1.1532395550319312,0.01856829089038949,-1.4604134559631348,-1.5089125633239746,0.1269063949584961,9819
31,-0.28647109866142273,0.28647109866142273,1.0,2.7390217781066895,31.79325294494629,-0.35766342282295227,0.9990234375,1.151660040555762,0.018520793267692827,-1.7693489789962769,-1.8142609596252441,0.12241110950708389,9883
32,-0.2828330099582672,0.2828330099582672,1.0,2.731119155883789,31.573793411254883,-0.3563167154788971,0.9990234375,1.1500826894340923,0.018473417143747724,-1.8968377113342285,-1.94110107421875,0.13132017850875854,9947
33,-0.27242743968963623,0.27242743968963623,1.0,2.6429920196533203,31.451045989990234,-0.33409765362739563,0.9990234375,1.1485074987039212,0.018426162207760808,-1.9688055515289307,-2.012603998184204,0.12332364916801453,10011
