layer,gamma,r2,rmse_log_ratio,drop_rate,ppl_mean,ppl_std
0,6.404601371230349,0.5034190550118095,0.07376528311982819,0.0,12.508157074727082,0.0
0,6.404601371230349,0.5034190550118095,0.07376528311982819,0.01,13.284595775082684,0.0
0,6.404601371230349,0.5034190550118095,0.07376528311982819,0.03,16.91775332317543,0.0
0,6.404601371230349,0.5034190550118095,0.07376528311982819,0.05,16.142712723220043,0.0
1,5.6537832637294505,0.9456995608504042,0.023827675179871607,0.0,12.508157074727082,0.0
1,5.6537832637294505,0.9456995608504042,0.023827675179871607,0.01,13.268975177944318,0.0
1,5.6537832637294505,0.9456995608504042,0.023827675179871607,0.03,14.30273960546254,0.0
1,5.6537832637294505,0.9456995608504042,0.023827675179871607,0.05,16.94366877888779,0.0
2,6.014887065148674,0.8696714876013828,0.0458275485140432,0.0,12.508157074727082,0.0
2,6.014887065148674,0.8696714876013828,0.0458275485140432,0.01,13.096834400720379,0.0
2,6.014887065148674,0.8696714876013828,0.0458275485140432,0.03,14.0291451910519,0.0
2,6.014887065148674,0.8696714876013828,0.0458275485140432,0.05,17.625938588394877,0.0
3,7.2138012040646515,-0.056176876410711785,0.08112100738708945,0.0,12.508157074727082,0.0
3,7.2138012040646515,-0.056176876410711785,0.08112100738708945,0.01,14.342232314851644,0.0
3,7.2138012040646515,-0.056176876410711785,0.08112100738708945,0.03,17.17778133929192,0.0
3,7.2138012040646515,-0.056176876410711785,0.08112100738708945,0.05,16.670490514406914,0.0
4,6.37344125858646,0.9825521945093599,0.01247640143292336,0.0,12.508157074727082,0.0
4,6.37344125858646,0.9825521945093599,0.01247640143292336,0.01,13.51057976117311,0.0
4,6.37344125858646,0.9825521945093599,0.01247640143292336,0.03,15.34575217475035,0.0
4,6.37344125858646,0.9825521945093599,0.01247640143292336,0.05,17.020676129578796,0.0
5,3.914133795417731,0.47944467435855054,0.03758504642598091,0.0,12.508157074727082,0.0
5,3.914133795417731,0.47944467435855054,0.03758504642598091,0.01,13.218715180396192,0.0
5,3.914133795417731,0.47944467435855054,0.03758504642598091,0.03,14.826513593020062,0.0
5,3.914133795417731,0.47944467435855054,0.03758504642598091,0.05,14.691927752462117,0.0
6,6.644633776045752,0.9831405477854405,0.01590051383441905,0.0,12.508157074727082,0.0
6,6.644633776045752,0.9831405477854405,0.01590051383441905,0.01,13.048607318004738,0.0
6,6.644633776045752,0.9831405477854405,0.01590051383441905,0.03,15.135781868254774,0.0
6,6.644633776045752,0.9831405477854405,0.01590051383441905,0.05,17.612993865672138,0.0
7,5.230815349672775,0.9988843553223543,0.002917139143913535,0.0,12.508157074727082,0.0
7,5.230815349672775,0.9988843553223543,0.002917139143913535,0.01,13.117513389274123,0.0
7,5.230815349672775,0.9988843553223543,0.002917139143913535,0.03,14.658933099469996,0.0
7,5.230815349672775,0.9988843553223543,0.002917139143913535,0.05,16.245618991998516,0.0
8,5.843661821092278,0.9854483894739497,0.012664414655448979,0.0,12.508157074727082,0.0
8,5.843661821092278,0.9854483894739497,0.012664414655448979,0.01,12.980328342719968,0.0
8,5.843661821092278,0.9854483894739497,0.012664414655448979,0.03,14.974608160248478,0.0
8,5.843661821092278,0.9854483894739497,0.012664414655448979,0.05,16.77754751411592,0.0
9,5.395144085273185,0.9056738832704725,0.0361428881444833,0.0,12.508157074727082,0.0
9,5.395144085273185,0.9056738832704725,0.0361428881444833,0.01,12.694686204390575,0.0
9,5.395144085273185,0.9056738832704725,0.0361428881444833,0.03,14.156855020709527,0.0
9,5.395144085273185,0.9056738832704725,0.0361428881444833,0.05,16.89114982400914,0.0
10,4.210036195369468,0.9676271309300187,0.010840488013737435,0.0,12.508157074727082,0.0
10,4.210036195369468,0.9676271309300187,0.010840488013737435,0.01,13.289675542667373,0.0
10,4.210036195369468,0.9676271309300187,0.010840488013737435,0.03,14.168938957372037,0.0
10,4.210036195369468,0.9676271309300187,0.010840488013737435,0.05,15.396797519403004,0.0
