sweep,value,label,states,margin_mean,margin_min,win_tie_rate
bandwidth_mhz,0.75,0.75,24,0.0031255621511764634,-0.01664465306411278,0.7083333333333334
bandwidth_mhz,1.0,1,24,0.002930236439732397,-0.009861032795792812,0.7083333333333334
bandwidth_mhz,1.5,1.5,24,0.002889432192398967,-0.003077412527472567,0.75
bandwidth_mhz,2.0,2,24,0.0026516999929986802,-0.0017097161549303186,0.875
bandwidth_mhz,3.0,3,24,0.001575602300390673,-0.006932413417148897,0.875
bandwidth_mhz,4.0,4,24,0.001184932495472363,-0.009944129884530223,0.8333333333333334
energy_scale,0.7,0.7,24,0.0026516999929986802,-0.0017097161549303186,0.875
energy_scale,0.85,0.85,24,0.0026516999929986802,-0.0017097161549303186,0.875
energy_scale,1.0,1,24,0.0026516999929986802,-0.0017097161549303186,0.875
energy_scale,1.15,1.15,24,0.002590956577995644,-0.0017097161549303186,0.8333333333333334
energy_scale,1.3,1.3,24,0.002590956577995644,-0.0017097161549303186,0.8333333333333334
area_m,500.0,500,24,0.000818557195065134,-0.014155686482390267,0.625
area_m,750.0,750,24,0.002490782560242087,-0.00865003620503138,0.7083333333333334
area_m,1000.0,1000,24,0.0026516999929986802,-0.0017097161549303186,0.875
area_m,1250.0,1250,24,0.024683181904139317,-0.04763932602759663,0.8333333333333334
area_m,1500.0,1500,24,0.703702632733317,-0.6170409826639198,0.7916666666666666
sequence_length,64.0,64,24,0.001794145793048773,-0.009085530273796799,0.8333333333333334
sequence_length,96.0,96,24,0.0021693333732360326,-0.0035236931627969093,0.8333333333333334
sequence_length,128.0,128,24,0.0026516999929986802,-0.0017097161549303186,0.875
sequence_length,160.0,160,24,0.0029517773291394705,-0.0024660996311722805,0.8333333333333334
sequence_length,192.0,192,24,0.0033236774295100752,-0.003222483107414298,0.8333333333333334
snr_threshold,5.0,5,24,0.0028963297408165396,-0.008647961672356874,0.75
snr_threshold,8.0,8,24,0.0014587782037028911,-0.00589642970019294,0.8333333333333334
snr_threshold,10.0,10,24,0.0026516999929986802,-0.0017097161549303186,0.875
snr_threshold,12.0,12,24,0.004582477873390653,-0.018085065747627915,0.8333333333333334
snr_threshold,16.0,16,24,0.02238855291487672,-0.05311670102089838,0.8333333333333334
latency_ref_s,3.0,3,24,0.004024755829562622,-0.005760573276425096,0.8333333333333334
latency_ref_s,4.5,4.5,24,0.003075744029263005,-0.002718227456586342,0.8333333333333334
latency_ref_s,6.0,6,24,0.0026516999929986802,-0.0017097161549303186,0.875
latency_ref_s,7.5,7.5,24,0.0022521808597013387,-0.002411325740596909,0.8333333333333334
latency_ref_s,9.0,9,24,0.0020312542291271753,-0.00537763886646353,0.8333333333333334
