sweep,value,label,method,states,reward_mean,feasible_mean,latency_mean,ppl_mean,energy_mean,max_energy_ratio_mean,runtime_mean
bandwidth_mhz,0.75,0.75,autoreg_rl_pure,24,-0.5159296331624658,1.0,4.644978994291313,34.773762252651856,1242.3588082831895,0.27061071083325633,0.24550956665189005
bandwidth_mhz,0.75,0.75,block_beam_strong,24,-0.5495048474871614,1.0,4.966611222817695,34.882527880061424,1329.8246165627663,0.29110425661698436,0.4107433791699198
bandwidth_mhz,0.75,0.75,block_lns_strong,24,-0.5190551953136423,1.0,4.665350822684162,34.85760005270953,1246.969353928291,0.2716138477778035,0.08248994164750911
bandwidth_mhz,0.75,0.75,hybrid_heuristic,24,-0.5190551953136423,1.0,4.665350822684162,34.85760005270953,1246.969353928291,0.2716138477778035,0.01513834999059327
bandwidth_mhz,1.0,1,autoreg_rl_pure,24,-0.4244509655994048,1.0,3.7301923186607033,34.773762252651856,998.4266420068453,0.2175402987270246,0.17369420415100953
bandwidth_mhz,1.0,1,block_beam_strong,24,-0.4501848449151476,1.0,3.9734107266015783,34.88253150428943,1064.6504707339202,0.23303997011638486,0.40479395413422026
bandwidth_mhz,1.0,1,block_lns_strong,24,-0.42738120203913715,1.0,3.7486104194445,34.857603676927,1002.8254263452718,0.2184859020278784,0.08087672916978288
bandwidth_mhz,1.0,1,hybrid_heuristic,24,-0.42738120203913715,1.0,3.7486104194445,34.857603676927,1002.8254263452718,0.2184859020278784,0.015020304184872657
bandwidth_mhz,1.5,1.5,autoreg_rl_pure,24,-0.33293451970453125,1.0,2.815027859711968,34.773762252651856,754.3882829680455,0.16444814981939435,0.14300280002256235
bandwidth_mhz,1.5,1.5,block_beam_strong,24,-0.3508211535219426,1.0,2.979752144263204,34.88269841590721,799.3507387985173,0.1749753578700456,0.41721391665244784
bandwidth_mhz,1.5,1.5,block_lns_strong,24,-0.33582395189693015,1.0,2.8330162496161067,34.85777058854476,759.0225312359806,0.16544737588144473,0.08297726668145818
bandwidth_mhz,1.5,1.5,hybrid_heuristic,24,-0.33582395189693015,1.0,2.8330162496161067,34.85777058854476,759.0225312359806,0.16544737588144473,0.01558318332536146
bandwidth_mhz,2.0,2,autoreg_rl_pure,24,-0.2871235702361541,1.0,2.356935201281211,34.77363256308513,632.2363921063758,0.13787634682272795,0.1349308958548742
bandwidth_mhz,2.0,2,block_beam_strong,24,-0.30096894214737485,1.0,2.4913586316294696,34.80467785583139,669.1119166144264,0.1464450717901943,0.4149808541502959
bandwidth_mhz,2.0,2,block_lns_strong,24,-0.2897752702291528,1.0,2.3826580151283694,34.77975017422431,639.2693155214391,0.13937520299524703,0.08504852082114667
bandwidth_mhz,2.0,2,hybrid_heuristic,24,-0.2897752702291528,1.0,2.3826580151283694,34.77975017422431,639.2693155214391,0.13937520299524703,0.01682052918476984
bandwidth_mhz,3.0,3,autoreg_rl_pure,24,-0.2412564732859422,1.0,1.9067362564588268,34.70837260238735,512.2025302918653,0.11165168950658722,0.12241060000572664
bandwidth_mhz,3.0,3,block_beam_strong,24,-0.2504457946371717,1.0,1.9863343504327062,34.803081842289686,534.1720684487303,0.1169247595560896,0.40919429165660404
bandwidth_mhz,3.0,3,block_lns_strong,24,-0.24283207558633288,1.0,1.9137580615697176,34.77565223600167,514.2308215762736,0.11220991784728994,0.08445997916472454
bandwidth_mhz,3.0,3,hybrid_heuristic,24,-0.24283207558633288,1.0,1.9137580615697176,34.77565223600167,514.2308215762736,0.11220991784728994,0.015683179158562172
bandwidth_mhz,4.0,4,autoreg_rl_pure,24,-0.21824148074600924,1.0,1.6857833333765184,34.63752814283544,453.4806553023491,0.09888339547745635,0.12231313746694165
bandwidth_mhz,4.0,4,block_beam_strong,24,-0.2255117317269255,1.0,1.7369937213302442,34.803081842289686,467.57869175981364,0.10235866820468621,0.40838881668363075
bandwidth_mhz,4.0,4,block_lns_strong,24,-0.21942641324148163,1.0,1.6797014381212032,34.77565223600169,451.8384833642517,0.09865869776769144,0.07974495001447697
bandwidth_mhz,4.0,4,hybrid_heuristic,24,-0.21942641324148163,1.0,1.6797014381212032,34.77565223600169,451.8384833642517,0.09865869776769144,0.015335933305323124
energy_scale,0.7,0.7,autoreg_rl_pure,24,-0.2871235702361541,1.0,2.356935201281211,34.77363256308513,632.2363921063758,0.19696620974675416,0.12720116666362932
energy_scale,0.7,0.7,block_beam_strong,24,-0.30096894214737485,1.0,2.4913586316294696,34.80467785583139,669.1119166144264,0.20920724541456334,0.40760555418091826
energy_scale,0.7,0.7,block_lns_strong,24,-0.2897752702291528,1.0,2.3826580151283694,34.77975017422431,639.2693155214391,0.19910743285035284,0.08598618333538373
energy_scale,0.7,0.7,hybrid_heuristic,24,-0.2897752702291528,1.0,2.3826580151283694,34.77975017422431,639.2693155214391,0.19910743285035284,0.015055008319905028
energy_scale,0.85,0.85,autoreg_rl_pure,24,-0.2871235702361541,1.0,2.356935201281211,34.77363256308513,632.2363921063758,0.16220746685026818,0.13255197498559332
energy_scale,0.85,0.85,block_beam_strong,24,-0.30096894214737485,1.0,2.4913586316294696,34.80467785583139,669.1119166144264,0.1722883197531698,0.4146223916807988
energy_scale,0.85,0.85,block_lns_strong,24,-0.2897752702291528,1.0,2.3826580151283694,34.77975017422431,639.2693155214391,0.16397082705323177,0.08721280001918785
energy_scale,0.85,0.85,hybrid_heuristic,24,-0.2897752702291528,1.0,2.3826580151283694,34.77975017422431,639.2693155214391,0.16397082705323177,0.015341312508098781
energy_scale,1.0,1,autoreg_rl_pure,24,-0.2871235702361541,1.0,2.356935201281211,34.77363256308513,632.2363921063758,0.13787634682272795,0.1290216833682886
